[INFO] 19:40:20 | Последняя стабильная версия: 1.4.5
[INFO] 19:40:20 | Экспериментальная версия: 1.4.0-beta.2
[INFO] 19:41:11 | Последняя стабильная версия: 1.4.5
[INFO] 19:41:11 | Экспериментальная версия: 1.4.0-beta.2
[INFO] 20:37:06 | Последняя стабильная версия: 1.4.5
[INFO] 20:37:06 | Экспериментальная версия: 1.4.0-beta.2
[INFO] 20:54:43 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 20:54:43 | Последняя стабильная версия: 1.4.5
[INFO] 20:54:43 | Экспериментальная версия: 1.4.0-beta.2
[INFO] 20:54:43 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 20:55:46 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 20:55:46 | Последняя стабильная версия: 1.4.5
[INFO] 20:55:46 | Экспериментальная версия: 1.4.0-beta.2
[INFO] 20:55:46 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 20:56:11 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 20:56:12 | Последняя стабильная версия: 1.4.5
[INFO] 20:56:12 | Экспериментальная версия: 1.4.0-beta.2
[INFO] 20:56:12 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 20:58:49 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 20:58:49 | Последняя стабильная версия: 1.4.5
[INFO] 20:58:49 | Экспериментальная версия: 1.4.0-beta.2
[INFO] 20:58:49 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 22:14:43 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 22:14:43 | Последняя стабильная версия: 1.4.5
[INFO] 22:14:43 | Экспериментальная версия: 1.4.0-beta.2
[INFO] 22:14:43 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[WARNING] 22:14:43 | Не удалось получить текущую версию из конфига, используем '0.0.0'
[INFO] 22:14:43 | Начинаю загрузку: stable_Assistant_1.4.5.zip
[INFO] 22:15:58 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 22:15:58 | Последняя стабильная версия: 1.4.5
[INFO] 22:15:58 | Экспериментальная версия: 1.4.0-beta.2
[INFO] 22:15:58 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[WARNING] 22:15:58 | Не удалось получить текущую версию из конфига, используем '0.0.0'
[INFO] 22:15:58 | Начинаю загрузку: stable_Assistant_1.4.5.zip
[INFO] 22:37:55 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 22:38:49 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 22:39:20 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 22:39:50 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 22:40:40 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 22:40:48 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 22:41:08 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 22:42:36 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 22:42:37 | Последняя стабильная версия: 1.4.5
[INFO] 22:42:37 | Экспериментальная версия: 1.4.0-beta.2
[INFO] 22:42:37 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[WARNING] 22:42:37 | Не удалось получить текущую версию из конфига, используем '0.0.0'
[INFO] 22:42:37 | Начинаю загрузку: stable_Assistant_1.4.5.zip
[INFO] 22:44:35 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 22:44:36 | Последняя стабильная версия: 1.4.5
[INFO] 22:44:36 | Экспериментальная версия: 1.4.0-beta.2
[INFO] 22:44:36 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[WARNING] 22:44:36 | Не удалось получить текущую версию из конфига, используем '0.0.0'
[INFO] 22:44:36 | Начинаю загрузку: stable_Assistant_1.4.5.zip
[INFO] 23:15:25 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[INFO] 23:15:27 | Последняя стабильная версия: 1.4.5
[INFO] 23:15:27 | Экспериментальная версия: 1.4.0-beta.2
[INFO] 23:15:27 | Путь config.ini:G:\PycharmProjects\oldAssistant_v2\update_app\config.ini
[WARNING] 23:15:27 | Не удалось получить текущую версию из конфига, используем '0.0.0'
[INFO] 23:15:28 | Начинаю загрузку: stable_Assistant_1.4.5.zip
